SP1,SP2,SP3,SP4,MV1,MV2,MV3
71.41615045585158,245.98813310244415,530.8131723200037,754.3632767700873,797.7665631972741,3027.203906755341,1.7173793401285353
71.42246908239778,245.99139464319904,530.8073151948197,754.3550828900295,797.7609495339809,3027.2231369084425,1.7173696936656129
71.42869447450762,245.99452154675808,530.800744503736,754.3455039085532,797.7548594904184,3027.241644998443,1.7173570052634117
71.43482663218113,245.9975138131212,530.7934602467527,754.3345398256585,797.7482930665867,3027.2594310253417,1.717341274921932
71.44086555541828,246.00037144228844,530.7854624238696,754.3221906413453,797.7412502624858,3027.2764949891393,1.7173225026411736
71.44681124421909,246.00309443425982,530.7767510350868,754.3084563556135,797.7337310781155,3027.292836889835,1.7173006884211366
71.45266369858356,246.00568278903532,530.7673260804042,754.2933369684634,797.725735513476,3027.30845672743,1.7172758322618211
71.45842291851167,246.00813650661493,530.7571875598221,754.2768324798948,797.7172635685673,3027.323354501924,1.7172479341632267
71.46406790251923,246.01044768640628,530.7466119953727,754.259182359519,797.7083652358087,3027.3371120296624,1.7172177047322015
71.469472641701,246.0125689248551,530.7372585192516,754.2418234250027,797.6993404697164,3027.347220208725,1.7171894076098297
71.4746161345728,246.014492321369,530.729403653491,754.2249951459575,797.6902392627096,3027.3532608554588,1.7171637534029587
71.4794983811346,246.01621787594803,530.7230473980912,754.2086975223831,797.6810616147886,3027.3552339698626,1.7171407421115887
71.48411938138644,246.01774558859213,530.7181897530521,754.1929305542795,797.6718075259532,3027.3531395519376,1.7171203737357197
71.48847913532826,246.01907545930135,530.7148307183737,754.1776942416469,797.6624769962035,3027.346977601683,1.7171026482753513
71.49257764296011,246.02020748807564,530.7129702940559,754.1629885844852,797.6530700255395,3027.3367481190994,1.717087565730484
71.49641490428199,246.02114167491504,530.712608480099,754.1488135827944,797.643586613961,3027.322451104186,1.7170751261011177
71.49999091929386,246.02187801981955,530.7137452765027,754.1351692365746,797.6340267614682,3027.3040865569433,1.7170653293872522
71.50330568799576,246.02241652278914,530.7163806832671,754.1220555458256,797.6243904680612,3027.2816544773714,1.7170581755888878
71.50635921038767,246.0227571838238,530.7205147003922,754.1094725105474,797.6146777337397,3027.25515486547,1.7170536647060242
71.50915148646959,246.0229000029236,530.7261473278779,754.0974201307401,797.604888558504,3027.2245877212395,1.7170517967386614
71.51168251624154,246.02284498008848,530.7332785657245,754.0858984064039,797.5950229423537,3027.18995304468,1.7170525716867997
71.51395229970349,246.02259211531845,530.7419084139317,754.0749073375384,797.5850808852892,3027.1512508357905,1.7170559895504387
71.51596083685546,246.02214140861352,530.7520368724996,754.0644469241439,797.5750623873104,3027.1084810945717,1.7170620503295788
